trial,common,reward_1_1,reward_1_2,reward_2_1,reward_2_2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward,slow,Subject,Condition
19,0,0.364958713,0.254790105,0.737314731,0.4427979,2,1,0.928785862,1,2,1,2,0.881506552,1,1,0,72,abstract
20,0,0.347143355,0.277198656,0.728378638,0.451521694,1,2,1.014600773,1,2,2,1,0.825703218,1,1,0,72,abstract
21,1,0.380637734,0.34022755,0.726551238,0.446140343,2,1,0.830880434,1,1,2,1,1.328151999,1,0,0,72,abstract
22,1,0.347627988,0.335931732,0.714462008,0.448145192,1,2,0.742796649,1,1,1,2,1.182044524,2,0,0,72,abstract
23,0,0.36362301,0.324843828,0.704503784,0.477717847,1,2,1.162237606,2,1,2,1,1.07792252,2,0,0,72,abstract
24,1,0.379193859,0.310697219,0.72122217,0.482334379,1,2,1.275021652,1,1,1,2,1.979214895,2,0,0,72,abstract
25,1,0.386158078,0.315601908,0.688270284,0.507963281,1,2,1.122208507,1,1,2,1,1.273159,1,1,0,72,abstract
26,1,0.414537009,0.340020151,0.723525637,0.501326457,2,1,1.25213854,1,1,2,1,1.467946164,1,0,0,72,abstract
27,1,0.37293764,0.351863733,0.72636705,0.472711899,2,1,0.903523279,1,1,1,2,1.318770029,2,0,0,72,abstract
28,1,0.360318471,0.277681164,0.734528019,0.479468253,1,2,0.970521211,2,2,2,1,1.036179335,1,1,0,72,abstract
29,1,0.423009103,0.300629356,0.739780665,0.515807296,1,2,1.207231166,2,2,2,1,0.685044778,1,1,0,72,abstract
30,1,0.429364606,0.272550743,0.730592078,0.553043277,2,1,1.534163295,1,1,2,1,1.916663402,1,1,0,72,abstract
31,1,0.4648818,0.315292057,0.726858532,0.574751713,2,1,0.934573615,2,2,2,1,0.519428722,1,1,0,72,abstract
32,0,0.512196896,0.332244108,0.735439101,0.578676639,1,2,0.953673563,2,1,1,2,NaN,NaN,0,1,72,abstract
33,0,0.496923728,0.332771214,0.735166604,0.60859198,1,2,0.602726747,2,1,1,2,1.073938957,2,0,0,72,abstract
34,1,0.526972705,0.342351458,0.737015488,0.611271623,2,1,1.125761138,2,2,2,1,0.580034692,1,1,0,72,abstract
35,0,0.517781993,0.325152737,0.702531611,0.599340325,2,1,0.819856099,2,1,2,1,1.14829619,1,0,0,72,abstract
36,1,0.496449989,0.365159575,0.693898409,0.566995899,1,2,0.619766658,2,2,1,2,0.809601415,1,1,0,72,abstract
37,1,0.482656213,0.34964104,0.730886275,0.564525068,2,1,0.884120774,2,2,2,1,0.853176213,1,1,0,72,abstract
38,1,0.500137643,0.372880064,0.745784489,0.589760854,1,2,0.67461531,2,2,2,1,0.502315885,1,1,0,72,abstract
39,0,0.521887264,0.380338026,0.726363574,0.556147926,1,2,0.861087589,2,1,2,1,1.432661842,1,1,0,72,abstract
40,1,0.512472128,0.389460749,0.672043323,0.535483137,2,1,1.419761294,2,2,2,1,0.519041486,1,0,0,72,abstract
41,0,0.466786606,0.384122162,0.620885187,0.506695179,1,2,0.737958453,2,1,1,2,0.989027196,1,0,0,72,abstract
42,1,0.460387003,0.344385417,0.617881403,0.511638953,2,1,0.664649923,1,1,1,2,0.850636725,1,1,0,72,abstract
43,1,0.432391785,0.311727792,0.631781468,0.504844705,2,1,0.812303029,2,2,1,2,0.744337759,1,1,0,72,abstract
44,1,0.413890043,0.261307932,0.64592487,0.522722151,2,1,0.699608786,2,2,1,2,0.868192549,1,1,0,72,abstract
